N:10000 Average Time: 2.240625
N:20000 Average Time: 3.752344
N:30000 Average Time: 4.949219
N:40000 Average Time: 5.785547
N:50000 Average Time: 6.907812
--------------------------------

N: 10000 Time: 2.546875
N: 10000 Time: 2.074219
N: 10000 Time: 2.429688
N: 10000 Time: 2.175781
N: 10000 Time: 2.105469
N: 10000 Time: 2.304688
N: 10000 Time: 2.179688
N: 10000 Time: 2.246094
N: 10000 Time: 1.929688
N: 10000 Time: 2.414062

N: 20000 Time: 3.773438
N: 20000 Time: 3.707031
N: 20000 Time: 3.722656
N: 20000 Time: 3.472656
N: 20000 Time: 4.027344
N: 20000 Time: 3.664062
N: 20000 Time: 3.968750
N: 20000 Time: 3.375000
N: 20000 Time: 3.875000
N: 20000 Time: 3.937500

N: 30000 Time: 4.746094
N: 30000 Time: 5.312500
N: 30000 Time: 5.210938
N: 30000 Time: 4.824219
N: 30000 Time: 5.058594
N: 30000 Time: 4.917969
N: 30000 Time: 4.851562
N: 30000 Time: 4.890625
N: 30000 Time: 4.566406
N: 30000 Time: 5.113281

N: 40000 Time: 5.968750
N: 40000 Time: 5.761719
N: 40000 Time: 5.792969
N: 40000 Time: 5.839844
N: 40000 Time: 5.714844
N: 40000 Time: 6.210938
N: 40000 Time: 5.554688
N: 40000 Time: 5.753906
N: 40000 Time: 5.589844
N: 40000 Time: 5.667969

N: 50000 Time: 7.085938
N: 50000 Time: 7.191406
N: 50000 Time: 6.957031
N: 50000 Time: 7.066406
N: 50000 Time: 7.285156
N: 50000 Time: 6.843750
N: 50000 Time: 6.078125
N: 50000 Time: 7.007812
N: 50000 Time: 6.710938
N: 50000 Time: 6.851562
